S.N,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Country
1,F,Real Madrid,12,8,4,0,26,15,11,28,24.0,15.4,8.6,0.72,W W W W D,72777,"Joselu, Vinicius JÃºnior... - 5",Andriy Lunin,es
5,QF,Manchester City,10,8,2,0,28,13,15,26,24.6,6.9,17.7,1.77,W W W W W,51298,Erling Haaland - 6,Ederson,eng
2,F,Dortmund,12,7,3,2,17,9,8,24,15.1,22.4,-7.3,-0.61,W W W L W,81365,Niclas FÃ¼llkrug - 3,Gregor Kobel,de
3,SF,Bayern Munich,12,7,3,2,21,13,8,24,19.0,15.0,4.0,0.33,D L L W L,75000,Harry Kane - 8,Manuel Neuer,de
6,QF,AtlÃ©tico Madrid,10,6,2,2,23,13,10,20,16.7,12.7,3.9,0.39,W W W W L,64803,Antoine Griezmann - 6,Jan Oblak,es
7,QF,Barcelona,10,6,1,3,20,14,6,19,16.9,11.3,5.6,0.56,W L W W W,45308,"Robert Lewandowski, FerrÃ¡n Torres... - 3",Marc-AndrÃ© ter Stegen,es
4,SF,Paris S-G,12,5,2,5,19,15,4,17,24.3,13.3,11.0,0.91,L L L W W,46686,Kylian MbappÃ© - 8,Gianluigi Donnarumma,fr
8,QF,Arsenal,10,5,2,3,19,8,11,17,13.4,8.5,4.9,0.49,W W W W W,59870,"Leandro Trossard, Gabriel Jesus... - 4",David Raya,eng
9,R16,Porto,8,5,0,3,16,9,7,15,11.4,7.7,3.7,0.46,W D W W W,47944,Galeno - 5,Diogo Costa,pt
10,R16,Inter,8,4,3,1,10,7,3,15,16.2,8.6,7.6,0.94,W W L W D,70279,"Alexis SÃ¡nchez, Marko ArnautoviÄ... - 2",Yann Sommer,it
